REP,INSTN,TREAT,x1,x2,x3,x4,x5,x6,x7,x8,Pwev,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
1,78,NI,10,10,10,7,7,7,7,1,3,3,3,5,3.2,0,3,3,4,78,51,38,-30.05279035,-0.95694864,9.076,7.756,8.176,7.834,-10.52301432,-0.015478307,42.4,54.8,59.6,57,36.5502684,0.228513843,43.94,40.14,27.02,24.18,-44.83733457,-0.334036279,10,175,4.389,0.4389,124.96,35.672,83.34,13.632,28.4,11.094,563.2,87.55770847,15.2,799.9,147.9557085,28.54673496,16.35709143,39.06338028,15.54646812,70.21663405,64.32479503,0.02508,16.25555556,16.25555556,0,0.442455921,267,1
1,154,NI,10,10,10,7,7,7,7,1,5,7,5,7,2.4,1.5,5,1,1.6,72,45,17,-49.86111111,-1.3081571,8.266,8.166,6.722,7.464,-15.21339067,-0.018067466,33.6,42.2,42,33.6,18.45463778,0.004476504,38.46,27.86666667,19.625,23.82,-49.99386188,-0.245061879,9,60,3.4013,0.377922222,15.94,11.228,5.96,4.222,2.446,1.662,199.4,18.81465452,4,223.746,35.92665452,70.4391468,70.83892617,67.94766966,9.43563416,88.91672076,66.14648076,0.056688333,13.99711934,12.59740741,0,0.265722744,118,2
1,73,NI,10,10,10,5,7,5,7,1,5,7,5,9,1.333333333,0,3,1,2.8,76,45,18,-50.39473684,-1.38141994,10.874,10.148,8.664,7.994,-23.87776337,-0.046660019,27,34.2,33.2,32.8,23.34108363,0.077734168,55.26,53.78,30.36666667,26.5,-50.45805943,-0.50512641,8,76,3.757,0.469625,17.52,12.35,10.44,6.552,7.9,2.628,238.2,31.1186562,6.2,274.06,52.6486562,70.49086758,62.75862069,33.26582278,13.0640874,86.10002106,65.2119918,0.049434211,17.39351852,13.91481481,0,0.324206143,252,3
1,81,NI,10,10,10,5,5,5,7,1,1,3,3,5,2,0,3,5,4,82,65,47,-24.2120075,-0.832326284,10.264,11.224,10.522,11.566,6.405979998,0.014651533,22.9,52,59.2,59.8,141.2582275,0.551532831,52.64,47.96,36.56666667,33.32,-35.60607196,-0.320060111,10,224,5.388,0.5388,74.98,24.288,92.56,13.752,22.2,11.098,487.8,92.64768406,15.6,677.54,141.7856841,32.39263804,14.8573898,49.99099099,18.99296516,71.72203965,63.33967496,0.024053571,19.95555556,19.95555556,0,0.666797594,262,4
1,148,NI,9,10,10,5,5,5,7,1,3,7,5,7,1,0,3,1,2.6,82,53,37,-32.77726645,-1.075528701,10.012,9.638,8.308,7.784,-19.63745212,-0.036884481,25.6,43.2,39.8,45.6,65.73725107,0.263689403,49.26,46.64,25.46666667,35.56,-37.50491765,-0.291796613,8,43,3.882,0.48525,46.68,16.664,48.24,8.972,6.2,3.64,355.8,68.49061055,4.4,456.92,97.76661055,35.69837189,18.5986733,58.70967742,19.24975001,78.80636223,69.81377327,0.09027907,17.97222222,14.37777778,0,0.346138504,112,5
1,192,NI,10,10,10,7,9,5,7,1,1,3,5,5,1.4,1.4,3,1,2.8,78,55,45,-23.83449883,-0.790030211,10.242,9.546,8.722,9.976,-10.63495666,-0.008134719,36,43.2,42.8,44.6,20.47594323,0.118447014,49.12,47.42,41.14,38,-19.24842744,-0.182200064,8,59,6.99,0.87375,123.74,25.01,92.82,8.91,28.6,5.886,859.4,157.990728,8.6,1104.56,197.796728,20.21173428,9.599224305,20.58041958,18.38384082,76.81571708,79.10284197,0.118474576,32.36111111,25.88888889,0,1.12225927,156,6
1,252,NI,10,10,10,7,7,7,7,1,3,5,5,7,1.333333333,0,3,1,2.4,73,47,38,-27.38268726,-0.839123867,8.796,9.138,6.978,8.162,-14.09355565,-0.019092606,28.4,34.2,33.6,37.6,22.63640321,0.124641986,51.18,47.425,45.25,41.56,-14.6412711,-0.142833881,10,107,4.227,0.4227,40.78,22.06,14.06,3.566,19.4,3.822,291.4,58.49718024,10,365.64,87.94518024,54.09514468,25.36273115,19.70103093,20.07452994,80.85180522,66.97473372,0.039504673,15.65555556,15.65555556,0,0.410396214,216,7
1,268,NI,10,10,10,7,7,7,7,1,3,7,5,7,2,0,3,1,2,78,49,34,-33.89586604,-1.052114804,9.944,8.782,8.89,11.098,-2.176685123,0.015345497,26.8,42.4,36.2,43.6,50.40031003,0.205346346,46.48,43.28,23.76,26.16666667,-48.60998902,-0.37301722,5,44,1.501,0.3002,61.62,26.556,37.3,7.612,15.176,8.034,300.2,41.11659248,8.8,414.296,83.31859248,43.09639727,20.4075067,52.93885082,13.69639989,72.4935819,54.00849148,0.034113636,11.11851852,5.559259259,0,0.051748794,268,8
1,15,NI,10,10,10,7,7,7,7,1,7,7,7,9,2.2,1.333333333,5,1,2.6,77,33,22,-45.23809524,-1.320996979,9.442,7.902,5.706,6.64,-38.6442917,-0.049677098,39.2,44.8,47.2,52,23.03268765,0.187970722,46,46.12,22.33333333,28.05,-42.78239201,-0.360337683,9,114,3.496,0.388444444,31.14,14.954,14.42,4.228,12.4,2.096,247.8,52.32384342,14,305.76,73.60184342,48.02183687,29.32038835,16.90322581,21.11535247,81.11374831,71.21122596,0.030666667,14.38683128,12.94814815,0,0.280725393,11,9
1,265,NI,10,10,10,5,9,7,7,1,5,7,7,9,1,1,3,1,2,76,52,27,-39.82793522,-1.165407855,9.74,9.402,9.455,10.176,-0.364651049,0.005922881,32.2,38.2,37,34,12.78947641,0.022085499,43.16,46.5,33.33333333,33.13333333,-20.77676529,-0.198597645,10,51,6.063,0.6063,24.22,15.906,4.38,2.812,4.112,2.414,497.8,95.86656704,4.8,530.512,116.998567,65.67299752,64.20091324,58.70622568,19.25804882,93.24688395,81.2929668,0.118882353,22.45555556,22.45555556,0,0.844333433,229,10
